location,target,type,unit,bin_start_incl,bin_end_notincl,value
KELLER ACH-WEST POINT,Season onset,Point,week,NaN,NaN,48.0
KELLER ACH-WEST POINT,Season onset,Bin,week,40,41,0.009322070911510275
KELLER ACH-WEST POINT,Season onset,Bin,week,41,42,0.01163577407962931
KELLER ACH-WEST POINT,Season onset,Bin,week,42,43,0.01395893349169186
KELLER ACH-WEST POINT,Season onset,Bin,week,43,44,0.01583550952737216
KELLER ACH-WEST POINT,Season onset,Bin,week,44,45,0.017036850953470337
KELLER ACH-WEST POINT,Season onset,Bin,week,45,46,0.017412434196217987
KELLER ACH-WEST POINT,Season onset,Bin,week,46,47,0.016989107855355234
KELLER ACH-WEST POINT,Season onset,Bin,week,47,48,0.17869719817423022
KELLER ACH-WEST POINT,Season onset,Bin,week,48,49,0.387220891474398
KELLER ACH-WEST POINT,Season onset,Bin,week,49,50,0.12757762247125592
KELLER ACH-WEST POINT,Season onset,Bin,week,50,51,0.053916841149203205
KELLER ACH-WEST POINT,Season onset,Bin,week,51,52,0.01693178083276205
KELLER ACH-WEST POINT,Season onset,Bin,week,52,53,0.013155915518230378
KELLER ACH-WEST POINT,Season onset,Bin,week,1,2,0.01064603561980988
KELLER ACH-WEST POINT,Season onset,Bin,week,2,3,0.024400204810132414
KELLER ACH-WEST POINT,Season onset,Bin,week,3,4,0.017264483706168558
KELLER ACH-WEST POINT,Season onset,Bin,week,4,5,0.014964148203927266
KELLER ACH-WEST POINT,Season onset,Bin,week,5,6,0.011104667266156283
KELLER ACH-WEST POINT,Season onset,Bin,week,6,7,0.010215634377271084
KELLER ACH-WEST POINT,Season onset,Bin,week,7,8,0.007014058165715792
KELLER ACH-WEST POINT,Season onset,Bin,week,8,9,0.004706115428534965
KELLER ACH-WEST POINT,Season onset,Bin,week,9,10,0.004052624795026765
KELLER ACH-WEST POINT,Season onset,Bin,week,10,11,0.0029676500071214654
KELLER ACH-WEST POINT,Season onset,Bin,week,11,12,0.0022156101571748307
KELLER ACH-WEST POINT,Season onset,Bin,week,12,13,0.0015385628072297727
KELLER ACH-WEST POINT,Season onset,Bin,week,13,14,0.0012920528537468626
KELLER ACH-WEST POINT,Season onset,Bin,week,14,15,0.0008190279583320929
KELLER ACH-WEST POINT,Season onset,Bin,week,15,16,0.0007565279583320928
KELLER ACH-WEST POINT,Season onset,Bin,week,16,17,0.0007565279583320928
KELLER ACH-WEST POINT,Season onset,Bin,week,17,18,0.0007565279583320928
KELLER ACH-WEST POINT,Season onset,Bin,week,18,19,0.0007565279583320928
KELLER ACH-WEST POINT,Season onset,Bin,week,19,20,0.0007565279583320928
KELLER ACH-WEST POINT,Season onset,Bin,week,20,21,0.0007565279583320928
KELLER ACH-WEST POINT,Season onset,Bin,week,none,none,0.0025690254583326296
KELLER ACH-WEST POINT,Season peak week,Point,week,NaN,NaN,5.0
KELLER ACH-WEST POINT,Season peak week,Bin,week,40,41,0.0006891411925997524
KELLER ACH-WEST POINT,Season peak week,Bin,week,41,42,0.0011431785881711501
KELLER ACH-WEST POINT,Season peak week,Bin,week,42,43,0.0020585083776453
KELLER ACH-WEST POINT,Season peak week,Bin,week,43,44,0.002854186610261212
KELLER ACH-WEST POINT,Season peak week,Bin,week,44,45,0.003193233097060609
KELLER ACH-WEST POINT,Season peak week,Bin,week,45,46,0.0033408845319492318
KELLER ACH-WEST POINT,Season peak week,Bin,week,46,47,0.004028908768557864
KELLER ACH-WEST POINT,Season peak week,Bin,week,47,48,0.007414486812651359
KELLER ACH-WEST POINT,Season peak week,Bin,week,48,49,0.037820329043159594
KELLER ACH-WEST POINT,Season peak week,Bin,week,49,50,0.04437595681879979
KELLER ACH-WEST POINT,Season peak week,Bin,week,50,51,0.11881113648131786
KELLER ACH-WEST POINT,Season peak week,Bin,week,51,52,0.1033124128090523
KELLER ACH-WEST POINT,Season peak week,Bin,week,52,53,0.025319244429965592
KELLER ACH-WEST POINT,Season peak week,Bin,week,1,2,0.0051477747530613936
KELLER ACH-WEST POINT,Season peak week,Bin,week,2,3,0.047191292626687545
KELLER ACH-WEST POINT,Season peak week,Bin,week,3,4,0.028033470544300033
KELLER ACH-WEST POINT,Season peak week,Bin,week,4,5,0.05143649953774609
KELLER ACH-WEST POINT,Season peak week,Bin,week,5,6,0.0536021595282227
KELLER ACH-WEST POINT,Season peak week,Bin,week,6,7,0.129177253501315
KELLER ACH-WEST POINT,Season peak week,Bin,week,7,8,0.15459131439159612
KELLER ACH-WEST POINT,Season peak week,Bin,week,8,9,0.09673983498732716
KELLER ACH-WEST POINT,Season peak week,Bin,week,9,10,0.03901159232960048
KELLER ACH-WEST POINT,Season peak week,Bin,week,10,11,0.01485042910425229
KELLER ACH-WEST POINT,Season peak week,Bin,week,11,12,0.009944120129698385
KELLER ACH-WEST POINT,Season peak week,Bin,week,12,13,0.006369359812702605
KELLER ACH-WEST POINT,Season peak week,Bin,week,13,14,0.002860358315816084
KELLER ACH-WEST POINT,Season peak week,Bin,week,14,15,0.0016252213820877903
KELLER ACH-WEST POINT,Season peak week,Bin,week,15,16,0.0012745055313960348
KELLER ACH-WEST POINT,Season peak week,Bin,week,16,17,0.0008141411925997525
KELLER ACH-WEST POINT,Season peak week,Bin,week,17,18,0.0008516411925997525
KELLER ACH-WEST POINT,Season peak week,Bin,week,18,19,0.0006891411925997524
KELLER ACH-WEST POINT,Season peak week,Bin,week,19,20,0.0006891411925997524
KELLER ACH-WEST POINT,Season peak week,Bin,week,20,21,0.0007391411925997525
KELLER ACH-WEST POINT,Season peak percentage,Point,percent,NaN,NaN,7.7
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0,0.100000,0.0004043510084229261
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.100000,0.200000,0.00040435100842336113
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.200000,0.300000,0.0004043510084242961
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.300000,0.400000,0.00040435100842627113
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.400000,0.500000,0.0004043510084304161
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.500000,0.600000,0.00040435100843902113
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.600000,0.700000,0.0004043510084567011
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.700000,0.800000,0.0004043510084926636
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.800000,0.900000,0.00040435100856506864
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,0.900000,1,0.0004043510087093736
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1,1.100000,0.00040435100899406613
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.100000,1.200000,0.0004043510095500111
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.200000,1.300000,0.0004043510106246536
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.300000,1.400000,0.0004043510126808361
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.400000,1.500000,0.0004043510165750861
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.500000,1.600000,0.00040435102387550363
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.600000,1.700000,0.0004043510374220786
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.700000,1.800000,0.0004043510623029761
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.800000,1.900000,0.0004043511075358036
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,1.900000,2,0.0004043511889291411
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2,2.100000,0.0004043513338955811
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.100000,2.200000,0.0004043515894512286
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.200000,2.300000,0.0004043520353523261
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.300000,2.400000,0.0004043528054079161
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.400000,2.500000,0.0004043541216363936
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.500000,2.600000,0.0004043563483331461
