location,target,type,unit,bin_start_incl,bin_end_notincl,value
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.600000,2.700000,0.00040436007659229364
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.700000,2.800000,0.00040436625477376363
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.800000,2.900000,0.0004043763873243086
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,2.900000,3,0.0004043928338469811
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3,3.100000,0.0004044192530579911
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.100000,3.200000,0.00040446125301860114
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.200000,3.300000,0.0004045273305168111
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.300000,3.400000,0.0004046302093103336
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.400000,3.500000,0.0004047887194521236
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.500000,3.600000,0.0004050303979109811
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.600000,3.700000,0.0004053950331746736
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.700000,3.800000,0.0004059394213316186
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.800000,3.900000,0.0004067436445873136
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,3.900000,4,0.0004079192196988536
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4,4.100000,0.0004096194856226186
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.100000,4.200000,0.0004120525966503461
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.200000,4.300000,0.0004154974471446061
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.300000,4.400000,0.00042738170658089075
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.400000,4.500000,0.0004611634157296355
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.500000,4.600000,0.0005217211353796685
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.600000,4.700000,0.000606593216999061
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.700000,4.800000,0.0007136543330929623
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.800000,4.900000,0.0009911457648685497
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,4.900000,5,0.023773843030816522
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5,5.100000,0.0030398520345951727
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.100000,5.200000,0.0028944795482094545
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.200000,5.300000,0.0030894940488694622
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.300000,5.400000,0.004377587496770297
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.400000,5.500000,0.004031581129498553
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.500000,5.600000,0.00476450933647918
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.600000,5.700000,0.0057348355183265524
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.700000,5.800000,0.00627665875049596
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.800000,5.900000,0.007722936594059795
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,5.900000,6,0.008424207615176267
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6,6.100000,0.00917473915466117
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.100000,6.200000,0.011656763032950445
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.200000,6.300000,0.013491121879902205
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.300000,6.400000,0.014214260014223701
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.400000,6.500000,0.016603939147746324
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.500000,6.600000,0.016879821009308776
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.600000,6.700000,0.021345245896232823
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.700000,6.800000,0.0230353738700229
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.800000,6.900000,0.022082385546855397
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,6.900000,7,0.026171465990912128
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7,7.100000,0.02653888247046375
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.100000,7.200000,0.02923527098526415
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.200000,7.300000,0.0301670509067405
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.300000,7.400000,0.02904744800223305
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.400000,7.500000,0.03754755321650618
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.500000,7.600000,0.034255315584938176
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.600000,7.700000,0.02984399916597842
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.700000,7.800000,0.029429031987246102
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.800000,7.900000,0.03131746362626925
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,7.900000,8,0.03057560777018225
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8,8.100000,0.02919359105837115
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.100000,8.200000,0.02563028123798775
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.200000,8.300000,0.03228858332642327
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.300000,8.400000,0.020614171457692128
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.400000,8.500000,0.023750095557629376
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.500000,8.600000,0.025390955675476425
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.600000,8.700000,0.022330582775963
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.700000,8.800000,0.019809517373908972
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.800000,8.900000,0.014254277269535402
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,8.900000,9,0.012405733954045652
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9,9.100000,0.010848023878189046
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.100000,9.200000,0.010466900571011488
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.200000,9.300000,0.011634734120275372
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.300000,9.400000,0.014409576854354293
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.400000,9.500000,0.010322179528941967
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.500000,9.600000,0.008204433156428515
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.600000,9.700000,0.0072497683087297945
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.700000,9.800000,0.008953224338613784
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.800000,9.900000,0.007204185532207623
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,9.900000,10,0.007162018350118752
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10,10.100000,0.006165462625167968
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.100000,10.200000,0.005559177286264735
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.200000,10.300000,0.005046180766574233
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.300000,10.400000,0.005574561156970931
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.400000,10.500000,0.005459815330744767
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.500000,10.600000,0.005430144790260872
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.600000,10.700000,0.006634935966541502
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.700000,10.800000,0.0048713545358828655
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.800000,10.900000,0.0030578827297659626
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,10.900000,11,0.0040468652072127445
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11,11.100000,0.0026779550328198927
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.100000,11.200000,0.0028050022660394873
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.200000,11.300000,0.0026224629683308147
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.300000,11.400000,0.0019038486978319527
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.400000,11.500000,0.0019489503100377976
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.500000,11.600000,0.0016049090473902574
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.600000,11.700000,0.0012872971990547399
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.700000,11.800000,0.00138741986124274
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.800000,11.900000,0.0013688396698984327
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,11.900000,12,0.0015016133623750746
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12,12.100000,0.0013958277928386843
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.100000,12.200000,0.0015656051114775614
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.200000,12.300000,0.001475483903012394
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.300000,12.400000,0.001150894502223496
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.400000,12.500000,0.000984202343712966
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.500000,12.600000,0.0015385706736626514
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.600000,12.700000,0.0013920070479966364
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.700000,12.800000,0.0017024774175763966
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.800000,12.900000,0.0018185686013065363
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,12.900000,13,0.0008793070266900263
KELLER ACH-WEST POINT,Season peak percentage,Bin,percent,13,100,0.015133500147234202
KELLER ACH-WEST POINT,1 wk ahead,Point,percent,NaN,NaN,5.4
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0,0.100000,0.00040249147787032214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.100000,0.200000,0.00040249147787032214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.200000,0.300000,0.00040249147787032214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.300000,0.400000,0.00040249147787032214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.400000,0.500000,0.00040249147787032214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.500000,0.600000,0.00040249147787032214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.600000,0.700000,0.0004024914778703271
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.700000,0.800000,0.0004024914778703446
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.800000,0.900000,0.0004024914778704321
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,0.900000,1,0.0004024914778708596
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1,1.100000,0.0004024914778728671
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.100000,1.200000,0.0004024914778818971
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.200000,1.300000,0.00040249147792092706
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.300000,1.400000,0.00040249147808292464
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.400000,1.500000,0.0004024914787285896
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.500000,1.600000,0.0004024914811996496
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.600000,1.700000,0.00041499149028031957
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.700000,1.800000,0.00040249152231997215
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.800000,1.900000,0.0004024916308545971
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,1.900000,2,0.00040249198381989214
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2,2.100000,0.0004024930857365396
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.100000,2.200000,0.0004024963877977771
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.200000,2.300000,0.00041500588518227706
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.300000,2.400000,0.00046345135330144006
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.400000,2.500000,0.00042760154250327196
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.500000,2.600000,0.00046527803100842696
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.600000,2.700000,0.0008225823248293035
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.700000,2.800000,0.0011340373958534061
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.800000,2.900000,0.001181667555585579
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,2.900000,3,0.0013877120463212825
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3,3.100000,0.0016742988626788102
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.100000,3.200000,0.0022263016493082525
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.200000,3.300000,0.002632785276635975
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.300000,3.400000,0.004100319118971633
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.400000,3.500000,0.0038495890910333675
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.500000,3.600000,0.00506911209453707
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.600000,3.700000,0.008205285343509361
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.700000,3.800000,0.008370449337377007
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.800000,3.900000,0.011225188801024744
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,3.900000,4,0.011946366981813901
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4,4.100000,0.01344697938496845
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.100000,4.200000,0.0172590043142949
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.200000,4.300000,0.019764726568783673
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.300000,4.400000,0.02337987139600197
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.400000,4.500000,0.025906273900458847
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.500000,4.600000,0.027115720351946426
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.600000,4.700000,0.031481145836339854
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.700000,4.800000,0.036594112359931624
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.800000,4.900000,0.03283043634668928
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,4.900000,5,0.03666726565673973
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5,5.100000,0.03930208035251535
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.100000,5.200000,0.03775084429332575
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.200000,5.300000,0.03854463166205928
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.300000,5.400000,0.0364335769639053
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.400000,5.500000,0.038442498279701275
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.500000,5.600000,0.0341970356623255
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.600000,5.700000,0.029769656274096022
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.700000,5.800000,0.028855085372128074
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.800000,5.900000,0.023652529332293074
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,5.900000,6,0.02319033959044508
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6,6.100000,0.028120313725811877
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.100000,6.200000,0.01943146995885558
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.200000,6.300000,0.025913920332893612
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.300000,6.400000,0.02277076517309551
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.400000,6.500000,0.024058843998804695
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.500000,6.600000,0.02129095089371966
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.600000,6.700000,0.01977771395832543
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.700000,6.800000,0.014397086951436103
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.800000,6.900000,0.018345340802768298
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,6.900000,7,0.01546921009473613
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7,7.100000,0.012440770422762567
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.100000,7.200000,0.008718864570799591
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.200000,7.300000,0.01511846486673014
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.300000,7.400000,0.00775289134345933
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.400000,7.500000,0.009210538925790428
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.500000,7.600000,0.007305185365364822
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.600000,7.700000,0.0073229462719090355
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.700000,7.800000,0.0045034463904386896
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.800000,7.900000,0.004161377406518702
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,7.900000,8,0.0043250485409184695
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8,8.100000,0.0034587860082413904
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.100000,8.200000,0.002885072890553433
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.200000,8.300000,0.0031353452413634977
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.300000,8.400000,0.00153779663336648
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.400000,8.500000,0.0024781182440014758
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.500000,8.600000,0.0012599450501077423
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.600000,8.700000,0.0009602254095146633
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.700000,8.800000,0.002062304009835096
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.800000,8.900000,0.0007001664704585882
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,8.900000,9,0.0006015648444926826
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,9,9.100000,0.0007693917859120422
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,9.100000,9.200000,0.00045668155066905627
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,9.200000,9.300000,0.00041660936564908655
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,9.300000,9.400000,0.002152491477870322
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,9.400000,9.500000,0.0019024914778703222
KELLER ACH-WEST POINT,1 wk ahead,Bin,percent,9.500000,9.600000,0.0014024914778703222
