"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"KELLER ACH-WEST POINT","Season onset","week","Bin","40","41",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","41","42",0.0098
"KELLER ACH-WEST POINT","Season onset","week","Bin","42","43",0.01355
"KELLER ACH-WEST POINT","Season onset","week","Bin","43","44",0.00155
"KELLER ACH-WEST POINT","Season onset","week","Bin","44","45",0.0024
"KELLER ACH-WEST POINT","Season onset","week","Bin","45","46",0.0037
"KELLER ACH-WEST POINT","Season onset","week","Bin","46","47",0.05165
"KELLER ACH-WEST POINT","Season onset","week","Bin","47","48",0.03075
"KELLER ACH-WEST POINT","Season onset","week","Bin","48","49",0.1878
"KELLER ACH-WEST POINT","Season onset","week","Bin","49","50",0.0088
"KELLER ACH-WEST POINT","Season onset","week","Bin","50","51",0.61855
"KELLER ACH-WEST POINT","Season onset","week","Bin","51","52",0.05065
"KELLER ACH-WEST POINT","Season onset","week","Bin","52","53",0.02055
"KELLER ACH-WEST POINT","Season onset","week","Bin","1","2",0.00015
"KELLER ACH-WEST POINT","Season onset","week","Bin","2","3",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","3","4",1e-04
"KELLER ACH-WEST POINT","Season onset","week","Bin","4","5",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","5","6",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","6","7",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","7","8",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","8","9",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","9","10",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","10","11",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","11","12",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","12","13",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","13","14",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","14","15",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","15","16",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","16","17",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","17","18",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","18","19",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","19","20",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","20","21",0
"KELLER ACH-WEST POINT","Season onset","week","Bin","none","none",0
"KELLER ACH-WEST POINT","Season peak week","week","Bin","40","41",0
