"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.6","0.7",3.93131111755253e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.7","0.8",4.22245314269214e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.8","0.9",4.5430409615421e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.9","1",4.89688967698658e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1","1.1",5.28842263640792e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.1","1.2",5.7227875147702e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.2","1.3",6.20599839330321e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.3","1.4",6.74511056231565e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.4","1.5",7.34843676613634e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.5","1.6",8.02581626338174e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.6","1.7",8.78895164691363e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.7","1.8",9.65183321020452e-05
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.8","1.9",0.00010631277269512
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.9","2",0.000117476139915154
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2","2.1",0.000130255730128437
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.1","2.2",0.000144954330684853
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.2","2.3",0.000161945273634982
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.3","2.4",0.000181692331584617
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.4","2.5",0.000204776275808578
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.5","2.6",0.000231930707431165
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.6","2.7",0.000264090956692575
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.7","2.8",0.000302461645915708
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.8","2.9",0.000348611294435381
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.9","3",0.000404606720039896
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3","3.1",0.000473207005572757
